index,CL,DC,DX,GY,GYSY,JR,KX,NY,RC,XX,YL
2014/5/21,1.18E-09,1.08E-09,1.39E-10,1.06E-09,9.41E-10,1.43E-10,1.02E-09,2.31E-10,7.42E-10,7.89E-10,7.50E-10
2014/5/22,8.39E-10,8.27E-10,1.36E-10,7.10E-10,6.20E-10,1.09E-10,7.59E-10,1.67E-10,5.36E-10,5.07E-10,5.31E-10
2014/5/23,8.46E-10,6.94E-10,1.04E-10,7.42E-10,6.83E-10,1.07E-10,7.38E-10,1.91E-10,5.87E-10,5.72E-10,5.31E-10
2014/5/26,6.94E-10,6.45E-10,9.21E-11,6.05E-10,5.55E-10,1.10E-10,5.71E-10,1.84E-10,4.67E-10,4.15E-10,4.30E-10
2014/5/27,7.18E-10,6.88E-10,8.22E-11,6.35E-10,5.87E-10,8.45E-11,5.82E-10,1.70E-10,4.77E-10,4.39E-10,4.36E-10
2014/5/28,6.79E-10,6.51E-10,1.04E-10,0,5.19E-10,1.03E-10,5.58E-10,1.64E-10,4.35E-10,0,4.21E-10
2014/5/29,8.08E-10,7.77E-10,1.15E-10,6.67E-10,6.00E-10,9.01E-11,6.32E-10,1.47E-10,4.91E-10,4.34E-10,4.80E-10
2014/5/30,7.65E-10,7.75E-10,9.34E-11,6.62E-10,5.62E-10,8.55E-11,6.34E-10,1.73E-10,5.17E-10,4.55E-10,0
2014/6/3,7.37E-10,7.50E-10,1.23E-10,6.68E-10,5.92E-10,9.44E-11,6.45E-10,1.85E-10,5.25E-10,4.70E-10,5.28E-10
2014/6/4,9.54E-10,9.45E-10,1.29E-10,8.28E-10,6.75E-10,1.08E-10,8.08E-10,2.08E-10,6.01E-10,5.38E-10,6.02E-10
2014/6/5,8.12E-10,8.17E-10,1.40E-10,7.30E-10,7.29E-10,1.19E-10,6.92E-10,2.07E-10,5.61E-10,4.74E-10,0
2014/6/6,8.22E-10,8.73E-10,1.46E-10,7.05E-10,7.24E-10,1.15E-10,6.70E-10,2.05E-10,5.54E-10,4.43E-10,4.62E-10
2014/6/9,8.44E-10,8.44E-10,1.32E-10,7.09E-10,7.04E-10,1.28E-10,6.54E-10,2.47E-10,5.27E-10,5.16E-10,5.39E-10
2014/6/10,7.59E-10,7.47E-10,1.02E-10,6.50E-10,5.98E-10,8.54E-11,5.94E-10,1.72E-10,4.87E-10,6.11E-10,5.49E-10
2014/6/11,6.25E-10,5.88E-10,9.15E-11,5.47E-10,5.06E-10,8.16E-11,5.11E-10,1.44E-10,4.39E-10,4.82E-10,4.19E-10
