Row,Var1,Var2,Var3,Var4,Var5,Var6
20191216,-0.0230736301361415,-0.013817901628267,-0.0145915278374983,-0.0162789574694532,-0.0102458775528726,-0.0174104641964871
20191217,-0.0222658429985028,-0.0119704982896347,-0.0140521245478808,-0.0158712114108805,-0.00779766695896327,-0.0114596503116862
20191218,-0.022681221646765,-0.0149499885685651,-0.0136377306281687,-0.0153897784083026,-0.00957181164842219,-0.0157931583201593
20191219,-0.022949033885318,-0.0128418242548873,-0.0121488396616563,-0.013536831905121,-0.00919929153564127,-0.0117906279367431
20191220,-0.0223638043661774,-0.0130933382214004,-0.0135578183958821,-0.0143473566326224,-0.00903501424377591,-0.0117991770748305
20191223,-0.0222140164770487,-0.0127431447809466,-0.0111683849518519,-0.0141201189963856,-0.00834304836996701,-0.0162221382009393
20191224,-0.0287259631180636,-0.0140911346636768,-0.0155678870049159,-0.0170406433550335,-0.0120028384461439,-0.0140153849421426
20191225,-0.0232346551737612,-0.0126953745559131,-0.0123779900298771,-0.0127828710027043,-0.00797797392472243,-0.0111340678579677
20191226,-0.0241625536506014,-0.0130046905462238,-0.0131559392607782,-0.0151467475348228,-0.00903973808101365,-0.0135405449427389
20191227,-0.022641726616097,-0.0128763887076796,-0.0121424588287527,-0.0150261678836467,-0.00902230436839773,-0.0130661944400255
20191230,-0.0224228413640932,-0.0128647323551292,-0.0125992393290247,-0.013922652820179,-0.00834356124924731,-0.0120270473377311
20191231,-0.0232815817694081,-0.0123906743598596,-0.0114936768866905,-0.0148116184574274,-0.0089399265133686,-0.0114341948122104
20200102,-0.0245248147819747,-0.012364794046082,-0.0114747061440213,-0.013419671738371,-0.0105853745198135,-0.0108865360176014
20200103,-0.0230414335803763,-0.0125954224100971,-0.0149746466743261,-0.0160651375759442,-0.00983603151210949,-0.012789314717317
20200106,-0.0226783612510712,-0.0121756271132965,-0.0116669289235244,-0.0130615591404807,-0.00921057056681015,-0.0118977809348502
20200107,-0.0241835379160428,-0.0126933067648426,-0.0122757276672232,-0.0178834415263978,-0.0106131491892803,-0.0171401229269885
20200108,-0.0225094492527699,-0.0130795058580105,-0.0125661309531321,-0.0131114794271322,-0.00983888186944852,-0.0138917511741349
20200109,-0.0311337542415871,-0.0146314626912866,-0.0188070454082648,-0.0190655596957334,-0.012132593017394,-0.0182472772571307
20200110,-0.0235065148726719,-0.0127188146893513,-0.0107854361157943,-0.0127757587538791,-0.00799128990296935,-0.0124370956446026
20200113,-0.0241546506921081,-0.0123824717295926,-0.010637648369562,-0.0140012879232444,-0.00756629137186342,-0.0118813833316133
