trade_date,yield_sum000001.SZ,yield_sum600015.SH,yield_sum601398.SH,yield_sum601939.SH,yield_sum601988.SH,yield_sum601998.SH
2019-06-28,1.0360902255639097,0.8555555555555556,0.95,0.9687500000000001,0.9420654911838791,0.9629032258064515
2019-07-01,1.0473684210526315,0.8633333333333333,0.9548387096774194,0.9713541666666667,0.9471032745591939,0.9790322580645161
2019-07-02,1.0661654135338345,0.8644444444444445,0.9564516129032258,0.9739583333333334,0.9496221662468514,0.9758064516129031
2019-07-03,1.0533834586466164,0.8677777777777778,0.914516129032258,0.9778645833333334,0.9496221662468514,0.9774193548387096
2019-07-04,1.0518796992481203,0.8677777777777778,0.9161290322580644,0.9765625,0.9496221662468514,0.9806451612903225
2019-07-05,1.0466165413533834,0.8666666666666667,0.914516129032258,0.9817708333333334,0.9445843828715365,0.9758064516129031
2019-07-08,1.0218045112781955,0.8544444444444445,0.9016129032258065,0.9713541666666667,0.9345088161209067,0.9564516129032258
2019-07-09,1.0218045112781955,0.8533333333333333,0.9,0.9635416666666667,0.9345088161209067,0.9548387096774194
2019-07-10,1.019548872180451,0.8488888888888888,0.8951612903225806,0.9101562500000001,0.9319899244332494,0.9467741935483871
2019-07-11,1.0180451127819548,0.8311111111111111,0.8983870967741936,0.9166666666666667,0.9345088161209067,0.9451612903225807
2019-07-12,1.0616541353383457,0.8355555555555555,0.9064516129032258,0.93359375,0.9370277078085643,0.9564516129032258
2019-07-15,1.0526315789473684,0.8355555555555555,0.9032258064516128,0.9348958333333334,0.9319899244332494,0.9564516129032258
2019-07-16,1.0338345864661653,0.8366666666666667,0.9048387096774194,0.9348958333333334,0.9294710327455918,0.9596774193548387
2019-07-17,1.0293233082706765,0.8322222222222222,0.896774193548387,0.9283854166666667,0.924433249370277,0.9596774193548387
2019-07-18,1.0278195488721804,0.8277777777777778,0.8983870967741936,0.9414062500000001,0.9193954659949621,0.9548387096774194
2019-07-19,1.0518796992481203,0.8333333333333334,0.9032258064516128,0.9440104166666667,0.924433249370277,0.9596774193548387
2019-07-22,1.0413533834586466,0.83,0.9096774193548386,0.9401041666666666,0.924433249370277,0.914516129032258
